,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,PPS,3PAr,PER,USG%,Points_Produced,Possessions_Used,ORtg,Assist/Turnover Ratio,Defensive Possessions,Defensive Rating
315,316,Thanasis Antetokounmpo,PF,31,MIL,34,0,4.6,0.5,0.9,0.533,0.0,0.0,0.0,0.5,0.9,0.552,0.533,0.0,0.1,0.0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.7,0.9,0.4766949152542373,1.0,0.0,7.215844866381868,29.217391304347828,0.9440000000000001,1.344,70.23809523809524,1.25,0.5,200.0
316,317,Damian Lillard,PG,33,MIL,73,73,35.3,7.4,17.5,0.424,3.0,8.5,0.354,4.4,9.0,0.49,0.51,6.5,7.0,0.92,0.5,3.9,4.4,7.0,1.0,0.2,2.6,1.8,24.3,0.5903790087463557,1.3885714285714286,0.4857142857142857,22.46482241069202,65.66572237960341,27.380000000000003,23.18,118.11906816220882,2.692307692307692,5.1000000000000005,19.6078431372549
317,318,Danilo Gallinari,SF,35,MIL,49,0,12.9,1.7,3.9,0.437,0.6,1.9,0.323,1.1,2.0,0.546,0.516,1.7,2.0,0.857,0.4,1.8,2.2,1.1,0.3,0.1,0.5,1.0,5.7,0.5962343096234309,1.4615384615384617,0.48717948717948717,15.578902278116626,40.93023255813954,6.58,5.28,124.62121212121211,2.2,2.2,45.45454545454545
318,319,Ryan Rollins,PG,21,MIL,13,0,6.0,1.1,2.1,0.519,0.2,0.3,0.75,0.8,1.8,0.478,0.574,1.0,1.3,0.765,0.2,0.8,1.0,1.1,0.8,0.2,0.6,0.6,3.4,0.6362275449101796,1.6190476190476188,0.14285714285714285,22.882974705056434,54.53333333333334,3.972,3.2720000000000002,121.39364303178483,1.8333333333333335,1.8,55.55555555555556
319,320,Malik Beasley,SG,27,MIL,79,77,29.6,4.1,9.1,0.443,2.8,6.9,0.413,1.2,2.3,0.533,0.598,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2.0,11.3,0.6090987494609746,1.2417582417582418,0.7582417582417583,12.92646803950619,33.702702702702695,11.476,9.975999999999999,115.03608660785889,2.0,4.0,25.0
320,321,Giannis Antetokounmpo,PF,29,MIL,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,0.6465883954398502,1.6170212765957446,0.09042553191489361,30.303939403986455,76.4431818181818,35.108,26.907999999999998,130.47420841385463,1.911764705882353,11.1,9.00900900900901
321,322,Patrick Beverley,PG,35,MIL,73,13,20.0,2.2,5.2,0.417,0.8,2.5,0.337,1.3,2.7,0.49,0.497,1.0,1.2,0.822,0.7,2.6,3.3,2.9,0.6,0.4,0.9,1.8,6.2,0.5412011173184358,1.1923076923076923,0.4807692307692307,13.458206661699128,33.14,6.728,6.628,101.50875075437537,3.222222222222222,3.6,27.77777777777778
322,323,Khris Middleton,SF,32,MIL,55,55,27.0,5.8,11.7,0.493,1.7,4.5,0.381,4.1,7.2,0.563,0.566,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1,0.595989895800442,1.2905982905982907,0.38461538461538464,20.07219661552203,55.43703703703704,16.068,14.968,107.34901122394443,2.3043478260869565,5.1,19.607843137254903
323,324,MarJon Beauchamp,SF,23,MIL,48,1,12.7,1.7,3.5,0.488,0.6,1.6,0.4,1.1,1.9,0.56,0.578,0.4,0.6,0.679,0.5,1.6,2.1,0.6,0.3,0.1,0.6,1.1,4.4,0.5844845908607864,1.2571428571428573,0.4571428571428572,11.927579789154626,34.36220472440945,4.664000000000001,4.364,106.87442713107242,1.0,2.0,50.0
324,325,Jae Crowder,PF,33,MIL,50,25,23.1,2.3,5.4,0.422,1.2,3.3,0.349,1.1,2.1,0.538,0.53,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2,0.5430974071478627,1.1481481481481481,0.611111111111111,10.698533628338074,26.874458874458877,6.508,6.208,104.83247422680411,2.6,3.6000000000000005,27.777777777777775
325,326,Pat Connaughton,SF,31,MIL,76,3,22.1,2.0,4.6,0.435,1.1,3.1,0.345,0.9,1.4,0.633,0.553,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6,0.5654281098546041,1.2173913043478262,0.673913043478261,10.89589606561685,25.122171945701353,5.952,5.552,107.20461095100866,3.5000000000000004,3.3,30.303030303030305
326,327,Jaden McDaniels,SF,23,MIN,72,71,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3.0,10.5,0.5716463414634146,1.2068965517241381,0.40229885057471265,11.894462088899576,35.56164383561644,10.984,10.383999999999999,105.77812018489988,1.1666666666666667,3.8,26.315789473684212
327,328,Anthony Edwards,SG,22,MIN,79,78,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,0.5751465624444839,1.3147208121827412,0.3401015228426396,22.99688450681918,72.98005698005697,28.715999999999998,25.616,112.10181136789507,1.6451612903225805,6.6,15.151515151515152
328,329,Wendell Moore Jr.,SG,22,MIN,25,0,3.0,0.4,0.7,0.5,0.0,0.2,0.0,0.4,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.0,0.2,0.2,0.7,0.5,1.0,0.28571428571428575,10.762541949191379,29.999999999999996,0.7,0.8999999999999999,77.77777777777779,1.0,0.7,142.85714285714286
329,330,Jordan McLaughlin,PG,27,MIN,56,0,11.2,1.3,2.6,0.483,0.8,1.6,0.472,0.5,1.0,0.5,0.628,0.2,0.3,0.722,0.3,1.0,1.3,2.0,0.6,0.1,0.3,0.6,3.5,0.6405563689604685,1.346153846153846,0.6153846153846154,14.764368294785239,27.071428571428573,3.632,3.032,119.78891820580475,6.666666666666667,1.7000000000000002,58.8235294117647
330,331,Mike Conley,PG,36,MIN,76,76,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.5,3.1,0.481,0.595,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4,0.6222707423580787,1.3411764705882354,0.6235294117647059,16.12136413305775,36.19377162629758,12.06,10.46,115.2963671128107,4.538461538461538,3.8,26.315789473684212
331,332,Kyle Anderson,PF,30,MIN,79,10,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,0.5121638924455826,1.1636363636363638,0.10909090909090909,13.47209266404859,32.955752212389385,7.148000000000001,7.448,95.97207303974221,3.5000000000000004,4.2,23.80952380952381
332,333,Monte Morris,PG,28,MIN,33,0,14.4,1.9,4.6,0.405,0.8,2.1,0.386,1.1,2.5,0.422,0.493,0.4,0.6,0.684,0.2,1.5,1.7,2.1,0.6,0.3,0.2,0.4,5.0,0.5139802631578948,1.0869565217391306,0.4565217391304348,14.64761842384107,35.166666666666664,5.264,5.064,103.94944707740916,10.5,2.4,41.66666666666667
